stime,etime,mlat,mlon,mlt
2015-10-18 11:00:23,2015-10-18 12:00:05,58.0267,-137.608,21.8098
2015-10-18 11:00:23,2015-10-18 12:00:05,58.42,-137.454,21.8201
2015-10-18 11:00:33,2015-10-18 12:00:15,76.37,-22.6576,5.47606
2015-10-18 18:00:33,2015-10-18 19:00:15,77.7496,-22.8083,12.3607
2015-10-18 19:00:33,2015-10-18 20:00:15,77.6824,-22.9029,13.3305
2015-10-18 19:00:33,2015-10-18 20:00:15,79.2388,-22.961,13.3266
2015-10-18 11:00:33,2015-10-18 12:00:15,76.351,-20.0962,5.64682
2015-10-18 19:00:33,2015-10-18 20:00:15,78.0402,-18.5697,13.6194
2015-10-18 19:00:33,2015-10-18 20:00:15,79.1834,-17.436,13.695
2015-10-18 19:00:33,2015-10-18 20:00:15,79.5556,-17.0104,13.7234
2015-10-18 19:09:20,2015-10-18 20:09:02,80.7743,-22.4915,13.5008
2015-10-18 12:00:24,2015-10-18 13:00:06,57.145,-31.5932,5.9002
2015-10-18 12:00:24,2015-10-18 13:00:06,57.5382,-31.7092,5.89247
2015-10-18 12:00:24,2015-10-18 13:00:06,57.929,-31.8246,5.88478
2015-10-18 11:00:24,2015-10-18 12:00:06,58.3176,-31.9395,4.85468
2015-10-18 12:00:24,2015-10-18 13:00:06,58.3176,-31.9395,5.87711
2015-10-18 11:00:24,2015-10-18 12:00:06,58.7044,-32.0544,4.84702
2015-10-18 11:00:24,2015-10-18 12:00:06,59.0895,-32.1694,4.83936
2015-10-18 11:00:24,2015-10-18 12:00:06,59.4731,-32.2848,4.83167
2015-10-18 10:00:24,2015-10-18 11:00:06,56.8141,-30.4954,3.91462
2015-10-18 11:00:24,2015-10-18 12:00:06,58.0091,-30.683,4.93845
2015-10-18 11:00:24,2015-10-18 12:00:06,58.4027,-30.7418,4.93453
2015-10-18 11:00:24,2015-10-18 12:00:06,58.7943,-30.7993,4.9307
2015-10-18 11:00:24,2015-10-18 12:00:06,59.1843,-30.8556,4.92694
2015-10-18 10:00:24,2015-10-18 11:00:06,57.2427,-28.4745,4.04935
2015-10-18 10:00:24,2015-10-18 11:00:06,57.6457,-28.4287,4.0524
2015-10-18 11:00:24,2015-10-18 12:00:06,58.839,-28.2652,5.09964
2015-10-18 10:00:23,2015-10-18 11:00:05,58.0509,-28.7251,4.03236
2015-10-18 11:00:23,2015-10-18 12:00:05,58.8409,-28.3778,5.09184
2015-10-18 10:00:23,2015-10-18 11:00:05,58.799,-27.1138,4.13978
2015-10-18 11:00:23,2015-10-18 12:00:05,58.799,-27.1138,5.17611
2015-10-18 10:00:23,2015-10-18 11:00:05,59.1856,-26.8829,4.15517
2015-10-18 11:00:23,2015-10-18 12:00:05,59.1855,-26.8829,5.1915
2015-10-18 10:00:23,2015-10-18 11:00:05,60.3344,-26.1792,4.20209
2015-10-18 11:00:23,2015-10-18 12:00:05,60.7142,-25.9398,5.25437
2015-10-18 11:00:23,2015-10-18 12:00:05,61.0925,-25.6977,5.27052
2015-10-18 11:00:23,2015-10-18 12:00:05,61.4695,-25.4525,5.28686
2015-10-18 11:00:23,2015-10-18 12:00:05,58.5816,-24.6565,5.33993
2015-10-18 11:00:23,2015-10-18 12:00:05,58.9522,-24.3144,5.36273
2015-10-18 11:00:23,2015-10-18 12:00:05,59.3204,-23.9684,5.3858
2015-10-18 11:00:23,2015-10-18 12:00:05,60.0506,-23.2629,5.43283
2015-10-18 11:00:23,2015-10-18 12:00:05,60.773,-22.5372,5.48121
2015-10-18 11:00:23,2015-10-18 12:00:05,61.1315,-22.166,5.50596
2015-10-19 21:00:03,2015-10-19 21:59:45,80.3231,-4.70286,16.49
2015-10-19 20:00:03,2015-10-19 20:59:45,80.454,-7.20513,15.344
2015-10-19 22:00:03,2015-10-19 22:59:45,80.6279,-11.6384,17.0121
2015-10-19 21:00:03,2015-10-19 21:59:45,80.7179,-15.3588,15.7796
2015-10-19 22:00:03,2015-10-19 22:59:45,76.3681,-71.091,13.0486
2015-10-19 22:00:03,2015-10-19 22:59:45,75.7122,-73.4689,12.8901
2015-10-19 22:00:03,2015-10-19 22:59:45,75.0341,-75.6364,12.7456
2015-10-19 20:00:03,2015-10-19 20:59:45,80.5341,-4.17627,15.546
2015-10-19 21:00:03,2015-10-19 21:59:45,80.5341,-4.17627,16.5251
